2018年 医 保 药 品 目 录,,,,,,,,,,
,,,,,,,,,,,
序号,医保项目编码,医保项目名称,统计类别,目录等级,医疗目录,工伤目录,生育目录,普通人员支付类型,特殊人群支付类型,居民支付类型
1,81100000001,血液滤过或血液净化管道,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
2,81100000002,滤网及输送器,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
3,81100000003,起搏导线,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
4,81100000004,套管针,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
5,81100000005,特殊穿刺针,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
6,81100000006,血液灌流器,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
7,81100000007,一次性复律除颤电极,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
8,81100000008,瓣膜刀或其它能破坏瓣膜的代用品,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
9,81100000009,测压套件,材料费,乙类,属于,属于,属于,先支付10%,无先支付,先支付10%
10,81100000010,超声溶栓导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
11,81100000011,穿刺导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
12,81100000012,导丝,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
13,81100000013,导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
14,81100000014,动脉穿刺套针、鞘管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
15,81100000015,多普勒导丝,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
16,81100000016,反搏导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
17,81100000017,激光导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
18,81100000018,经冠状动脉窦逆行灌注管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
19,81100000019,漂浮导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
20,81100000020,漂浮导管置入套件,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
21,81100000021,气囊导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
22,81100000022,气囊或水囊扩张导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
23,81100000024,取栓管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
24,81100000027,炭肾、血路通路,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
25,81100000028,套鞘,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
26,81100000030,特殊脐带夹,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
27,81100000032,心导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
28,81100000033,旋磨术专用导丝和旋磨导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
29,81100000034,旋切导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
30,81100000035,血管内超声导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
31,81100000036,血管内窥镜导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
32,81100000037,血浆分离器及通路,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
33,81100000038,指引导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
34,81100000039,指引导丝,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
35,81100000040,中心静脉套件,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
36,81100000041,主动脉内反搏动球囊导管,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
37,81100000042,除颤器,材料费,乙类,属于,属于,不属于,先支付10%,无先支付,先支付10%
38,81200000001,冲气式颈托,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
39,81200000002,弹力腰围,材料费,全自费,属于,属于,不属于,先支付100%,先支付100%,先支付100%
