2018年 医 保 药 品 目 录,,,,,,,,,,,,
,,,,,,,,,,,,,
序号,医保药品名称,目录类别,目录剂型,目录等级,工伤目录,生育目录,医疗目录,非处方用药,限制范围,普通人员支付类型,特殊人群支付类型,居民支付类型
1,西药全自费,西药,无剂型,全自费,不属于,不属于,属于,处方用药,,先支付100%,先支付100%,先支付100%
2,西药全报销,西药,无剂型,甲类,不属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3,青霉素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
4,青霉素V,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5,青霉素V,西药,颗粒剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
6,苄星青霉素,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
7,普鲁卡因青霉素,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
8,青霉素皮试剂,西药,注射剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
9,苯唑西林,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
10,氯唑西林,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
11,苯唑西林,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
12,氟氯西林(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付20%,无先支付,先支付20%
13,氟氯西林,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限二线用药,先支付20%,无先支付,先支付20%
14,萘夫西林,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限二线用药,先支付10%,无先支付,先支付10%
15,萘夫西林,西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付10%,无先支付,先支付10%
16,阿莫西林,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
17,氨苄西林,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
18,阿莫西林(限儿童及吞咽困难患者),西药,口服液体剂,甲类,不属于,不属于,属于,处方用药,限儿童及吞咽困难患者,无先支付,无先支付,无先支付
19,阿莫西林(限儿童及吞咽困难患者),西药,颗粒剂,甲类,不属于,不属于,属于,处方用药,限儿童及吞咽困难患者,无先支付,无先支付,无先支付
20,阿莫西林,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
21,氨苄西林,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
22,氨苄西林,西药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
23,舒他西林,西药,口服常释剂型,乙类,属于,属于,属于,处方用药, ,先支付5%,无先支付,先支付5%
24,哌拉西林,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
25,阿洛西林,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
26,磺苄西林,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
27,美洛西林,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
28,羧苄西林,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
29,阿莫西林克拉维酸,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
30,阿莫西林克拉维酸,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
31,阿莫西林克拉维酸,西药,口服液体剂,甲类,不属于,不属于,属于,处方用药,,无先支付,无先支付,无先支付
32,阿莫西林克拉维酸,西药,颗粒剂,甲类,不属于,不属于,属于,处方用药,,无先支付,无先支付,无先支付
33,阿莫西林克拉维酸,西药,咀嚼片,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
34,阿莫西林舒巴坦,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
35,氨苄西林舒巴坦,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
36,美洛西林舒巴坦(限重度感染),西药,注射剂,乙类,属于,属于,属于,处方用药,限重度感染,先支付10%,无先支付,先支付10%
37,哌拉西林舒巴坦,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
38,哌拉西林他唑巴坦(哌拉西林三唑巴坦)(限重度感染),西药,注射剂,乙类,属于,属于,属于,处方用药,限重度感染,先支付10%,无先支付,先支付10%
39,舒巴坦,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
40,替卡西林克拉维酸,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
41,阿莫西林舒巴坦匹酯,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
42,氟氯西林阿莫西林(限二线用药),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限二线用药,先支付20%,无先支付,先支付20%
43,氨苄西林氯唑西林,西药,注射剂,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
44,头孢氨苄,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
45,头孢氨苄,西药,颗粒剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
46,头孢拉定,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
47,头孢拉定,西药,口服液体剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
48,头孢拉定,西药,颗粒剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
49,头孢羟氨苄,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
50,头孢羟氨苄,西药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
51,头孢羟氨苄,西药,咀嚼片,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
52,头孢唑林,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
53,头孢拉定,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
54,头孢硫脒(限有药敏试验证据),西药,注射剂,乙类,属于,属于,属于,处方用药,限有药敏试验证据,先支付10%,无先支付,先支付10%
55,五水头孢唑林(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付20%,无先支付,先支付20%
56,头孢替唑,西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付10%,无先支付,先支付10%
57,头孢呋辛,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
58,头孢呋辛,西药,颗粒剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
59,头孢丙烯,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
60,头孢丙烯,西药,口服液体剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
61,头孢丙烯,西药,颗粒剂,乙类,属于,属于,属于,非处方用药,,先支付10%,无先支付,先支付10%
62,头孢丙烯,西药,咀嚼片,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
63,头孢克洛,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
64,头孢克洛,西药,缓释控释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
65,头孢克洛,西药,口服液体剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
66,头孢克洛,西药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
67,头孢克洛,西药,咀嚼片,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
68,头孢呋辛,西药,口服液体剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
69,头孢呋辛,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
70,头孢美唑,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
71,头孢替安,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
72,头孢西丁,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
73,头孢地尼,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
74,头孢地尼,西药,颗粒剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
75,头孢克肟,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
76,头孢克肟,西药,口服液体剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
77,头孢克肟,西药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
78,头孢噻肟,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
79,头孢曲松,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
80,拉氧头孢,西药,注射剂,乙类,属于,属于,属于,处方用药,限有药敏试验证据,先支付10%,无先支付,先支付10%
81,头孢米诺,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
82,头孢哌酮舒巴坦(限重症感染),西药,注射剂,乙类,属于,属于,属于,处方用药,限重症感染,先支付5%,无先支付,先支付5%
83,头孢他啶,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
84,头孢唑肟,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
85,头孢地嗪(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付10%,无先支付,先支付10%
86,头孢甲肟(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付10%,无先支付,先支付10%
87,头孢孟多酯(限二线用药),西药,注射剂,乙类,属于,属于,属于,处方用药,限二线用药,先支付20%,无先支付,先支付20%
